anio,indicador,valor,unidad,fuente
1991,Desempleo,6.44,%,Banco Mundial
1992,Desempleo,6.32,%,Banco Mundial
1993,Desempleo,6.37,%,Banco Mundial
1994,Desempleo,6.43,%,Banco Mundial
1995,Desempleo,6.51,%,Banco Mundial
1996,Desempleo,6.73,%,Banco Mundial
1997,Desempleo,6.59,%,Banco Mundial
1998,Desempleo,6.4,%,Banco Mundial
1999,Desempleo,6.17,%,Banco Mundial
2000,Desempleo,6.19,%,Banco Mundial
2001,Desempleo,6.29,%,Banco Mundial
2002,Desempleo,6.3,%,Banco Mundial
2003,Desempleo,6.3,%,Banco Mundial
2004,Desempleo,6.1,%,Banco Mundial
2005,Desempleo,5.97,%,Banco Mundial
2006,Desempleo,5.79,%,Banco Mundial
2007,Desempleo,5.66,%,Banco Mundial
2008,Desempleo,5.64,%,Banco Mundial
2009,Desempleo,5.86,%,Banco Mundial
2010,Desempleo,5.84,%,Banco Mundial
2011,Desempleo,4.03,%,Banco Mundial
2012,Desempleo,3.69,%,Banco Mundial
2013,Desempleo,3.67,%,Banco Mundial
2014,Desempleo,4.39,%,Banco Mundial
2015,Desempleo,4.34,%,Banco Mundial
2016,Desempleo,4.72,%,Banco Mundial
2017,Desempleo,5.34,%,Banco Mundial
2018,Desempleo,5.16,%,Banco Mundial
2019,Desempleo,6.26,%,Banco Mundial
2020,Desempleo,14.66,%,Banco Mundial
2021,Desempleo,10.18,%,Banco Mundial
2022,Desempleo,8.09,%,Banco Mundial
2023,Desempleo,6.54,%,Banco Mundial
2024,Desempleo,8.45,%,Banco Mundial
2025,Desempleo,8.36,%,Banco Mundial
2014,Inflacion (IPC),2.6,%,INEC
2015,Inflacion (IPC),0.19,%,INEC
2016,Inflacion (IPC),0.68,%,INEC
2017,Inflacion (IPC),0.87,%,INEC
2018,Inflacion (IPC),0.77,%,INEC
2019,Inflacion (IPC),-0.29,%,INEC
2020,Inflacion (IPC),-1.62,%,INEC
2021,Inflacion (IPC),1.65,%,INEC
2022,Inflacion (IPC),2.86,%,INEC
2023,Inflacion (IPC),1.48,%,INEC
2024,Inflacion (IPC),0.73,%,INEC
